id,total_recent,positive_recent,mood_recent,total_all,positive_all,mood_all
1255152,0,0,,125,80,Mixed
1255560,54,46,Very Positive,540,486,Very Positive
1255650,36,34,Very Positive,1519,1473,Overwhelmingly Positive
1256060,0,0,,234,215,Very Positive
1256610,45,36,Very Positive,1504,1278,Very Positive
1256670,331,307,Very Positive,9378,8533,Very Positive
1256750,0,0,,15,12,Positive
1256830,0,0,,121,91,Mostly Positive
1257170,0,0,,185,144,Mostly Positive
1257200,0,0,,251,220,Very Positive
1257290,52,44,Very Positive,1293,1176,Very Positive
1257360,16,13,Very Positive,901,792,Very Positive
1257410,23,21,Very Positive,591,561,Overwhelmingly Positive
1257570,0,0,,0,0,9 user reviews
1257810,0,0,,90,77,Very Positive
1257860,0,0,,48,46,Positive
1258220,18,13,Mostly Positive,177,136,Mostly Positive
1258460,0,0,,161,101,Mixed
1258500,0,0,,163,123,Mostly Positive
1258590,39,31,Very Positive,495,396,Very Positive
1258740,0,0,,133,127,Very Positive
1258910,0,0,,98,71,Mostly Positive
1259360,0,0,,777,411,Mixed
1259420,941,875,Very Positive,14896,13704,Very Positive
1259560,0,0,,561,504,Very Positive
1259640,0,0,Very Positive,222,199,Very Positive
1259750,0,0,,29,16,Mixed
1259790,21,12,Mixed,529,423,Very Positive
1259800,16,14,Very Positive,247,190,Mostly Positive
1259840,13,11,Very Positive,824,766,Very Positive
1259930,0,0,,114,79,Mostly Positive
1259970,854,717,Very Positive,17739,13304,Mostly Positive
1259980,102,90,Very Positive,2706,2056,Mostly Positive
1260050,0,0,,0,0,
1260590,15,10,Mostly Positive,239,215,Very Positive
1260810,40,34,Very Positive,1382,1299,Very Positive
1261040,157,125,Very Positive,3645,2879,Mostly Positive
1261120,0,0,,20,19,Positive
1261520,10,8,Very Positive,175,134,Mostly Positive
1261960,0,0,,83,79,Very Positive
1262000,0,0,,90,82,Very Positive
1262240,121,98,Very Positive,4166,3041,Mostly Positive
1262460,13,6,Mixed,674,566,Very Positive
1262560,240,199,Very Positive,6642,5313,Very Positive
1262571,0,0,,28,9,Mostly Negative
1262580,302,259,Very Positive,6265,5513,Very Positive
1262600,113,90,Very Positive,2576,1957,Mostly Positive
1262670,0,0,,86,48,Mixed
1262910,0,0,,110,70,Mixed
1263070,10,6,Mixed,850,569,Mixed
1263230,0,0,,100,95,Very Positive
1263370,98,79,Very Positive,3177,2636,Very Positive
1263560,0,0,,0,0,8 user reviews
1263850,339,318,Very Positive,12974,11936,Very Positive
1263860,18,16,Very Positive,418,359,Very Positive
12640,0,0,,383,302,Mostly Positive
1264170,0,0,,38,27,Mostly Positive
1264171,0,0,,29,22,Mostly Positive
1264180,0,0,,40,34,Positive
1264250,26,22,Very Positive,1438,1049,Mostly Positive
1264280,27,25,Very Positive,1089,1012,Very Positive
1264340,0,0,,41,24,Mixed
1264520,0,0,Very Positive,300,297,Very Positive
1264670,16,12,Very Positive,5349,3583,Mixed
1264970,10,8,Very Positive,199,181,Very Positive
1265640,0,0,,50,41,Very Positive
1265820,35,33,Very Positive,832,782,Very Positive
1265860,57,48,Very Positive,887,700,Mostly Positive
1265970,0,0,,0,0,8 user reviews
1266100,0,0,,36,32,Positive
1266640,0,0,,44,33,Mostly Positive
1266690,126,113,Very Positive,1301,1131,Very Positive
1266800,17,10,Mixed,461,354,Mostly Positive
1267260,0,0,,44,38,Positive
1267345,0,0,,0,0,
1267346,0,0,,0,0,
1267470,22,7,Mostly Negative,2234,1787,Very Positive
1267500,0,0,,0,0,1 user reviews
1267502,0,0,,22,17,Positive
1267503,0,0,,0,0,7 user reviews
1267504,0,0,,0,0,9 user reviews
1267507,0,0,,78,35,Mixed
1267509,0,0,,0,0,Positive
1267540,38,27,Mostly Positive,79,56,Mostly Positive
1267910,147,139,Overwhelmingly Positive,2334,2170,Very Positive
1268860,0,0,,126,120,Very Positive
1268900,15,9,Mixed,109,83,Mostly Positive
1269310,0,0,,39,36,Positive
1269690,0,0,,122,112,Very Positive
1269810,0,0,,302,220,Mostly Positive
1269820,0,0,,130,117,Very Positive
1269840,0,0,,55,49,Very Positive
1269950,113,98,Very Positive,1763,1657,Very Positive
1270540,0,0,,89,44,Mixed
1270670,0,0,,45,33,Mostly Positive
1270980,0,0,,69,43,Mixed
12710,0,0,,1169,1075,Very Positive
1271110,0,0,,45,32,Mostly Positive
1271280,58,56,Very Positive,374,351,Very Positive
1271300,0,0,,257,236,Very Positive
1271400,24,20,Very Positive,556,533,Overwhelmingly Positive
1271670,0,0,,103,76,Mostly Positive
1271671,0,0,,159,136,Very Positive
1271680,0,0,,34,26,Mostly Positive
1271700,0,0,,1220,1000,Very Positive
1271740,0,0,,66,46,Mostly Positive
1271792,0,0,,26,23,Positive
1271850,0,0,,38,25,Mixed
1271891,0,0,,0,0,4 user reviews
1271892,0,0,,0,0,1 user reviews
1271893,0,0,,0,0,2 user reviews
1272070,0,0,,90,88,Very Positive
1272160,125,110,Very Positive,2241,2061,Very Positive
1272440,0,0,,94,92,Very Positive
1272580,0,0,,105,99,Very Positive
1272680,0,0,,13,7,Mixed
