id,tag,type
1011190,Point & Click,T
1011190,FMV,T
1011190,Experimental,T
1011190,2D,T
1011190,Text-Based,T
1011190,Psychological Horror,T
1011190,Story Rich,T
1011190,Surreal,T
1011190,Choices Matter,T
1011190,Narration,T
1011190,Conversation,T
1011190,Multiple Endings,T
1011190,Puzzle,T
1011190,Simulation,T
1011190,Single-player,C
1011190,Steam Achievements,C
1011610,Strategy,T
1011610,Simulation,T
1011610,Indie,T
1011610,World War II,T
1011610,RTS,T
1011610,War,T
1011610,Real Time Tactics,T
1011610,Military,T
1011610,Historical,T
1011610,Voice Control,T
1011610,Tactical,T
1011610,Co-op,T
1011610,Single-player,C
1011610,Online Co-op,C
1011610,Steam Achievements,C
1011610,Steam Workshop,C
1011610,Steam Cloud,C
1011610,Includes level editor,C
1011670,Action,T
1011670,Casual,T
1011670,Sandbox,T
1011670,Physics,T
1011670,Funny,T
1011670,Co-op,T
1011670,Open World,T
1011670,Simulation,T
1011670,3D,T
1011670,Action-Adventure,T
1011670,Local Multiplayer,T
1011670,Third Person,T
1011670,Adventure,T
1011670,Split Screen,T
1011670,Cute,T
1011670,Colorful,T
1011670,Comedy,T
1011670,4 Player Local,T
1011670,Local Co-Op,T
1011670,Multiplayer,T
1011670,Single-player,C
1011670,Online Co-op,C
1011670,Shared/Split Screen Co-op,C
1011670,Steam Achievements,C
1011670,Full controller support,C
1011670,Remote Play Together,C
1011890,Nudity,T
1011890,RPG,T
1011890,Adventure,T
1011890,Indie,T
1011890,Sexual Content,T
1011890,Mature,T
1011890,Single-player,C
1011890,Downloadable Content,C
1011890,Steam Achievements,C
1011890,Steam Trading Cards,C
1011890,Steam Cloud,C
1011900,Nudity,T
1011900,Adventure,T
1011900,Indie,T
1011900,RPG,T
1011900,Sexual Content,T
1011900,Single-player,C
1011900,Downloadable Content,C
1011900,Steam Achievements,C
1011900,Steam Trading Cards,C
1011900,Steam Cloud,C
1011940,Nudity,T
1011940,Sexual Content,T
1011940,RPG,T
1011940,Indie,T
1011940,RPGMaker,T
1011940,Female Protagonist,T
1011940,Mature,T
1011940,Anime,T
1011940,JRPG,T
1011940,Hentai,T
1011940,Multiple Endings,T
1011940,Memes,T
1011940,2D,T
1011940,Single-player,C
1011940,Steam Cloud,C
1011990,Adventure,T
1011990,Violent,T
1011990,Sexual Content,T
1011990,Visual Novel,T
1011990,Anime,T
1011990,Single-player,C
1012030,RPG,T
1012030,Sexual Content,T
1012030,Indie,T
1012030,Nudity,T
1012030,Female Protagonist,T
1012030,RPGMaker,T
1012030,Steampunk,T
1012030,Mature,T
1012030,Anime,T
1012030,Adventure,T
1012030,JRPG,T
1012030,Multiple Endings,T
1012030,Hentai,T
1012030,Memes,T
1012030,Detective,T
1012030,Singleplayer,T
1012030,Single-player,C
1012030,Steam Trading Cards,C
1012030,Steam Cloud,C
1012102,Simulation,T
1012102,Single-player,C
1012102,Downloadable Content,C
1012102,Steam Achievements,C
1012102,Full controller support,C
1012102,Steam Trading Cards,C
1012102,Steam Workshop,C
1012102,In-App Purchases,C
1012102,Steam Cloud,C
1012102,Steam Leaderboards,C
1012560,Casual,T
1012560,Indie,T
1012560,Action,T
1012560,Driving,T
1012560,Automobile Sim,T
1012560,Arcade,T
1012560,Multiplayer,T
1012560,Funny,T
1012560,Psychological Horror,T
1012560,Singleplayer,T
1012560,Single-player,C
1012560,Online PvP,C
1012560,Steam Achievements,C
1012560,Steam Cloud,C
1012610,Colony Sim,T
1012610,Strategy,T
1012610,Indie,T
1012610,Early Access,T
1012610,City Builder,T
1012610,Base Building,T
1012610,Survival,T
1012610,Post-apocalyptic,T
1012610,Resource Management,T
1012610,Simulation,T
1012610,Open World,T
1012610,RTS,T
1012610,Singleplayer,T
1012610,Dark Humor,T
1012610,Pirates,T
1012610,Great Soundtrack,T
1012610,Gore,T
1012610,Roguelike,T
1012610,Romance,T
1012610,Single-player,C
1012610,Steam Cloud,C
1012790,VR,T
1012790,Atmospheric,T
1012790,Survival,T
1012790,Shooter,T
1012790,Singleplayer,T
1012790,Open World,T
1012790,Indie,T
1012790,Horror,T
