id,OS,CPU,RAM,Graphics,DirectX,Disk Space,Additional,type
1011670,Windows 7 or newer,"Intel Core i7 3770k, AMD Ryzen 5 1600",8 GB RAM,"GTX 1060, Radeon RX 480",Version 11,4 GB available space,,R
1011890,WIN7 SP1/WIN8/WIN10/XP,2 GHz,2 GB RAM,DirectX 9 compatible graphics card,,2 GB available space,,F
1011900,WIN7 SP1/WIN8/WIN10/XP,1.2 GHz,2 GB RAM,DirectX 9 compatible graphics card,,2 GB available space,,F
1011940,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,,4 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1011940,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",,4 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1011990,7 / 8.1 / 10,Intel Core 2 DUO,2 GB RAM,"highcolor(16bit),VRAM256MB",Version 9.0c,2 GB available space,,M
1011990,7 / 8.1 / 10,3.0 GHz (4core),8 GB RAM,"fullcolor(32bit),VRAM512MB",Version 9.0c,2 GB available space,,R
1012030,Windows® 7/8/8.1/10,Intel Core2 Duo or better,4 GB RAM,DirectX 9/OpenGL 4.1 capable GPU,Version 9.0,1 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,M
1012030,Windows® 7/8/8.1/10,2+ GHz Processor,4 GB RAM,"OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50)",Version 9.0,4 GB available space,1280x768 or better Display.  Lag may occur from loading menus or maps.  Turn off other programs before running the game.,R
1012102,"32-bit Windows 7 Service Pack 1, 8.1 or 10 Required (Other OS versions and types are not supported)",Intel Core-i3 4330 3.50 GHz Dual Core or AMD A8 6600K 3.90 GHz Quad Core or Better,4 GB RAM,NVIDIA GeForce GTX 750 Ti or AMD Radeon R9 Graphics with 1 GB Dedicated VRAM or Better,9.0c,40 GB or more available space (Additional Add-Ons will require more),Requires mouse and keyboard or Xbox Controller,M
1012102,"32- or 64-bit Windows 7 Service Pack 1, 8.1 or 10 Required (Other OS versions and types are not supported)",Intel Core-i5 4690 3.50 GHz Quad Core or AMD Ryzen 7 1700 3.80 GHz Quad Core or Better,4 GB RAM (maximum possible under 32-bit Windows)/16 GB or Better (For 64-bit Windows),NVIDIA GeForce GTX 970 or AMD Radeon RX 480 with 4 GB Dedicated VRAM or Better,9.0c,High Performance SSD Recommended with 40 GB or more available space (Additional Add-Ons will require more),Requires mouse and keyboard or Xbox Controller,R
1012560,Windows 7 SP1+,Dual-Core Intel or AMD processor,4 GB RAM,Graphics card with DX10 (shader model 4.0) capabilities,Version 11,1 GB available space,,M
1012560,,,4 GB RAM,,,,,R
1012610,Windows 7 SP1+,Core i3 or better,4 GB RAM,Geforce GTX 400/Radeon HD 5000,Version 11,2 GB available space,Graphics card with DX10 (shader model 4.0) capabilities,M
1012610,Windows 10,Core i5 or better,8 GB RAM,Geforce GTX 700/Radeon HD 7000 series or better,,,,R
1012790,Windows 10,,,Geforce 1070 6 GB,Version 11,,"For Rift, Rift S or Vive",M
1012790,,,,,,,,R
1012840,"Windows 7, 8, 8.1, 10 x64",Intel Core i5-760 / AMD Athlon X4 740 or equivalent,4 GB RAM,GeForce GTX 460 or MX150 / Radeon R7 260X,,15 GB available space,,M
