id,name
1223,DESTINYbit
1224,"Arsi ""Hakita"" Patala"
1225,Frycandle
1226,Terri
1227,STUDIO N9
1228,CREST
1229,Frontwing
1230,ANIPLEX.EXE
1231,Milepost Simulations
1232,Bossman Games
1233,Ascaron Entertainment ltd.
1234,Strategy First
1235,Gearbox Software
1236,Tamsoft
1237,Pixel Reef
1238,GridSky Software AS
1239,DICE
1240,Gasket Games
1241,Lab Zero Games
1242,"Nippon Ichi Software, Inc."
1243,"Corecell Technology Co.,Ltd"
1244,The Spiteful Games
1245,HereSphere LLC
1246,MIYAKOpubl
1247,Dale Turner
1248,Gilligames
1249,Bugbear Entertainment
1250,Hopoo Games
1251,Exodus Software
1252,Joey Drew Studios
1253,Visceral Games
1254,Stellar Entertainment
1255,Magic Pockets
1256,Michael Trott
1257,Camshaft Software Ltd
1258,Cabbage Soft
1259,Innocent Grey
1260,AURORA Games
1261,KillHouse Games
1262,HeroCraft PC
1263,Draw Me A Pixel
1264,"Monster Games, Inc."
1265,Valentin Lievre
1266,Valve
1267,JanduSoft
1268,Grimorio of Games
1269,GrosChevaux
1270,Alex Hanson-White
1271,Gunfire Games
1272,Mr. Pink
1273,a10a010
1274,MyACG Studio
1275,Ubisoft Entertainment
1276,Natsume Inc.
1277,Webfoot
1278,Encore Inc.
1279,Lizard Hazard Games
1280,Green Man Gaming Publishing
1281,Jujubee S.A.
1282,BANDAI NAMCO Entertainment America Inc.
1283,Bad Pixel
1284,"ARC SYSTEM WORKS CO.,LTD."
