id,title,description,date,dev_id,pub_id,metascore,age_rating,agency
1015030,Heroes of Hammerwatch: Pyramid of Prophecy,,"13 Mar, 2019",99,99,N/A,,
1015050,Rabi-Ribi - Cocoa Mode & Before Next Adventure,,"1 Feb, 2019",100,100,N/A,,
1015160,American Truck Simulator - Washington,,"11 Jun, 2019",101,101,N/A,,
1015480,DrumBeats VR,"DrumBeatsVR is a VR drumming music game. Players can drum to our songs that are custom made for this game. In DrumBeatsVR you can practice on different drum kits, including Metallica and The Rolling Stones and you can play in three different environments (more to be added later).","30 Jan, 2019",102,103,N/A,,
1015500,WWE 2K20,"2K invites players to Step Inside the squared circle with WWE 2K20, available October 22. Your favorite WWE Superstars, Legends, Hall of Famers and NXT’s best will join the festivities and celebrate the rebirth of the WWE 2K franchise!","21 Oct, 2019",104,105,43,16,PEGI
1015610,THE LAST PLAYER:VR Battle Royale,The Last Player is a virtual reality battle royale game. The player will land on a battlefield with other competitors. Find weapons to arm yourself and use covers to hide from your enemies. There can be only one survivor! Enjoy the highly immersive and thrilling VR gaming experience!,"7 Aug, 2019",106,106,N/A,,
1015770,Tina: Swordswoman of the Scarlet Prison,"Play as Tina and Cecile as they investigate Durham and try to uncover the cause of the village's sudden surge of crime. With the reappearance of an old foe, their job won't be easy.","1 Aug, 2019",107,78,N/A,,
1015790,Dark Hero Party,"Imos lives his peaceful life helping his sister Tori run a potion shop in a quiet village. However, when an order is given for all Dracovalis to hunt down the Demon Lord, that peace is shattered forever.","9 Apr, 2020",108,78,N/A,,
1015800,Ordeal of Princess Eris,"When the evil empire Flosein invades her kingdom, princess Eris manages to escape with her life. Seeing her castle burn, she vows to retake her beloved kingdom no matter the cost.","6 Jun, 2019",109,78,N/A,,
1015880,Farming Simulator 19 - Anderson Group Equipment Pack,,"26 Mar, 2019",110,111,N/A,3,PEGI
1015890,TASOMACHI: Behind the Twilight,"Yukumo is a young girl traversing the world in her beloved airship. Upon arriving at a certain town, her airship breaks down. She decides to explore the town to search for parts for repair; however, the town has fallen silent, with no trace of its inhabitants...","13 Apr, 2021",112,113,N/A,,
1015940,Welcome to Elk,"Welcome to Elk is a biographical adventure set on an island like no other, where every character you encounter has a story to tell. From the weird and wonderful to the dark and desperate, all the tales told on Elk are based on true stories of life on the road less traveled.","17 Sep, 2020",114,114,82,,
1016080,Imperator: Rome - Complete Soundtrack,,"25 Apr, 2019",115,116,N/A,12,PEGI
